"Sentence","Mark #1","Mark #2","Mark #3","Mark #4","Mark #4","Evaluator #1","Evaluator #2","Evaluator #3","Evaluator #4","Evaluator #5"
"Журналисты стараются дать обе точки зрения - например, напомнила гендиректор""Дождя"", в 2011 году канал освещал как провластные митинги на Поклонной горе, так и антиправительственные - на Болотной площади.","neutral","neutral","neutral",,,15,17,7,,
"Они дают показания и искренне сливают своих"",","doubrful","negative","doubrful",,,15,17,7,,
"Ещё 16% — внимание производителей букридеров! — собираются их приобрести в ближайшем будущем.","doubrful","neutral","neutral",,,15,17,7,,
"Бин Ладен не был мусульманским лидером, он совершал массовые убийства мусульман.","negative","neutral","negative",,,15,17,7,,
"Как же она все-таки передается, травма?","negative","neutral","neutral",,,15,17,7,,
"У нас заморочены мозги гламуром, буржуазностью, диким капитализмом — можно называть как угодно.","negative","negative","neutral",,,15,17,7,,
"Сейчас люди, аналогичные советским героям Басилашвили, выглядят иначе.","neutral","neutral","neutral",,,15,17,7,,
"И да, базу в Ульяновске стоит свернуть, так как она вредит безопасности России, еще больше, чем все вместе взятые наземные станции GPS.","negative","negative","neutral",,,15,17,7,,
"Все государства ЕС должны быть горды тем, что было достигнуто в юго-восточной Европе.","positive","neutral","neutral",,,15,17,7,,
"В начале лета туроператоры указывали на невысокую потребительскую активность населения.","neutral","negative","neutral",,,15,17,7,,
"Эта уверенность тоже чувствуется читателем и тоже привлекает его.","positive","positive","positive",,,15,17,7,,
"Британская правительственная программа по сокращению бюджетных расходов аукнулась и королевской семье - Елизавету II попросту лишили государственного самолёта, как слишком затратной статьи.","negative","neutral","neutral",,,15,17,7,,
"«По моим сведениям, Грибаускайте не получала, у нас нет никакого приглашения от Лукашенко»,","neutral","neutral","neutral",,,15,17,7,,
"Он освободил монологи ведущих от ложного пафоса, канцелярских оборотов и мнимой литературности.","negative","neutral","neutral",,,15,17,7,,
"Но внутри у него честные 0 и 1, он индексирует и ищет не хуже других.","positive","positive","neutral",,,15,17,7,,
"Интересно, что, по исследованию ФОМ, в малых и средних городах готовность к действию (в самом широком смысле слова) выше.","positive","neutral","neutral",,,15,17,7,,
"И теперь вместо чтения куч мануалов и best practices приходится просто спокойно работать.","positive","positive","neutral",,,15,17,7,,
"И в советские времена не было.","doubrful","neutral","neutral",,,15,17,7,,
"Его в первую очередь коснутся нововведения в разрабатываемых законопроектов.","neutral","neutral","neutral",,,15,17,7,,
"Также в следующих двух турах Данаилов не проявлял активности.","doubrful","negative","neutral",,,15,17,7,,
"И наконец, главный приз конкурса краткометражного кино""Окно в Интернет""получил кинофильм Black light режиссера Олега Толстошеева.","positive","neutral","neutral",,,15,17,7,,
"Чем этих криков, ненависти, ругани, яда, дезы, лжи по обе стороны границы.","negative","negative","negative",,,15,17,7,,
"Странно что там пепельница вынимается вручную, а не на сервисе.","doubrful","neutral","neutral",,,15,17,7,,
"""Таким образом Аляска не была продана США и не была передана в аренду США о чём сейчас спорят все.","neutral","neutral","neutral",,,15,17,7,,
"Она способна быстро осознавать, что означает подсказка Jeopardy, анализировать доступную информацию и быстро находить точные и достоверные ответы.","positive","positive","positive",,,15,17,7,,
"Но и за рабочие рамки не желают выходить.","neutral","neutral","neutral",,,15,17,7,,
"Игра показала, что итальянский специалист был недалёк от истины.","positive","neutral","neutral",,,15,17,7,,
"… Мне позвонила очень милая девушка и пригласила на ток-шоу «Гордон Кихот».","positive","positive","positive",,,15,17,7,,
"Клип вызвал резкую критику со стороны Римской католической церкви.","negative","negative","neutral",,,15,17,7,,
"Помимо проекта с""ВКонтакте""телеканал развивает онлайн-кинотеатр kino.1tv.ru, куда выкладывает сериалы для платного просмотра.","positive","neutral","neutral",,,15,17,7,,
"О том, что на водоёме началась бурная деятельность, рассказали российские пограничники.","doubrful","neutral","neutral",,,15,17,7,,
"Однако идея выставки принадлежит заведующему отделом природы Арины Кащишина.","neutral","neutral","neutral",,,15,17,7,,
"В обмен Yahoo получит все доходы от продаж рекламы на своём сайте и даже на некоторых сайтах Microsoft.","positive","neutral","neutral",,,15,17,7,,
"Шеф включил телевизор, и только до обеда поступило несколько невнятных сообщений об аварии.","negative","negative","neutral",,,15,17,7,,
"Напомним, именно предприятие, возглавляемое Владимиром Нестеровым, делает ракеты-носители «Протон».","doubrful","neutral","neutral",,,15,17,7,,
"Хотя, пожалуй, точней было бы сопоставление с попыткой взбежать по эскалатору, движущемуся в обратном направлении.","negative","negative","neutral",,,15,17,7,,
"Комитет установил, что было свидетельство, что американский военный персонал в Ираке и в Авганистане нарушал права некоторых задержанных.","negative","negative","neutral",,,15,17,7,,
"Вроде всё переменилось, а самое скверное никуда не делось.","negative","negative","neutral",,,15,17,7,,
"На создание модуля «Колумбус» было израсходовано 880 миллионов евро.","negative","neutral","neutral",,,15,17,7,,
"Особенность эксперимента заключалась в том, что студенты сдавали экзамены независимым экспертам — преподавателям, которые не проводили у них занятия.","neutral","neutral","neutral",,,15,17,7,,
"Более 25 тыс. пользователей Facebook подали коллективный иск в суд австрийской столицы Вены против социальной сети за неправомерное использование их персональных данных.","negative","negative","neutral",,,15,17,7,,
"Файловой системы для жёсткого диска в Chrome OS не предусмотрено: файлы можно будет хранить только онлайн.","neutral","neutral","neutral",,,15,17,7,,
"Главное — практически полное отсутствие традиции за этим повествованием.","neutral","negative","negative",,,15,17,7,,
"Google находит более 300 млн страниц с упоминанием конкурса.","neutral","neutral","neutral",,,15,17,7,,
"Управление модулем «Колумбус» будет осуществляться из европейского центра, который находится в Оберпфаффенхофен (Oberpfaffenhofen), в Баварии.","neutral","neutral","neutral",,,15,17,7,,
"Подробная статистика по аудитории Digg и расценки на рекламу опубликовало агентство Federated Media, которое занимается размещением рекламы на подобных независимых сайтах и блогах.","neutral","neutral","neutral",,,15,17,7,,
"kika написал эпический пост про русских программистов и в нём есть целый ряд ситуаций, на которые я смотрю совсем под другим углом.","positive","neutral","neutral",,,15,17,7,,
"«Я и лошадь, я и бык, я и баба, и мужик».","doubrful","negative","neutral",,,15,17,7,,
"Дальнейшая игра проходила по однообразному сценарию: армейцы организованно атаковал, «Торпедо» не менее организованно защищалось и контратаковало.","negative","neutral","neutral",,,15,17,7,,
"Но меня слышат, и многое слышат.","positive","neutral","neutral",,,15,17,7,,
"Вышеупомянутый «треугольник» был задуман в конце 90-х товарищем Примаковым для противостояния США, причём исключительно в качестве самоцели.","doubrful","neutral","neutral",,,15,17,7,,
"Во главу же угла ставился принцип состязательности: конкурентная борьба между страховыми компаниями за клиентов и между клиниками за внимание страховых компаний должна была заставить систему встряхнуться.","positive","neutral","neutral",,,15,17,7,,
"Здесь важна передача сценария, а возраст может быть от 50 до 30.","neutral","neutral","neutral",,,15,17,7,,
"Легкоатлеты тренировались в манеже ЦСКА и жили в армейской гостинице.","neutral","neutral","neutral",,,15,17,7,,
"Теперь с помощью денег можно купить должность в правительстве, откупиться от суда или полиции.","negative","negative","neutral",,,15,17,7,,
"Купила в Праге карманное зеркальце с портретом Кафки.","neutral","neutral","neutral",,,15,17,7,,
"Если женщина — то сразу возникают вопросы по поводу того, каким образом она добивается повышения…","negative","negative","neutral",,,15,17,7,,
"«Я пойду заниматься онанизмом в туалет».","neutral","negative","neutral",,,15,17,7,,
"Тем, что их владелец ― её муж.","doubrful","neutral","neutral",,,15,17,7,,
"Быть может, потому, что поздравлять особенно не за что — не за то же обстоятельство, в конце концов, что я родилась женщиной и у меня нет пресловутой Y-хромосомы...","negative","neutral","neutral",,,15,17,7,,
"Эта проявленная связанность прежде была практически не доступна для исследователей, и теперь, получив в распоряжение подходящий инструментарий, гуманитарные науки смогут сделать следующий шаг.","positive","neutral","neutral",,,15,17,7,,
"С этой эвакуацией города я пропустила уколы, больницу вывезли, хотела в городе остаться.","negative","negative","neutral",,,15,17,7,,
"Ну или же она не подразумевалась, правая-то.","doubrful","doubrful","neutral",,,15,17,7,,
"Чем дальше, чем больше размываются «берега», множатся, дробятся, причудлво преломляются последствия пережитого.","doubrful","neutral","neutral",,,15,17,7,,
"Франция опустилась на 35 место (11 место в 2002 году, 30 место в 2005 году).","negative","negative","neutral",,,15,17,7,,
"В своем выступлении после завершения выборов Нурсултан Назарбаев отметил, что доволен ходом голосования и активностью избирателей.","positive","positive","neutral",,,15,17,7,,
"Снято добротно, технологии использованы почти такие же крутые, как в""Уэйн Индастриз""","positive","positive","neutral",,,15,17,7,,
"19 июня МИД Австралии объявил о введении санкций против 50 россиян и 11 компаний.","negative","neutral","neutral",,,15,17,7,,
"Дэн Браун, кажется, абсолютно уверен в правильности всего, что делает.","positive","neutral","neutral",,,15,17,7,,
"Или быть может они не занимаются кадастрами, а вы расскажете, как там все устроено.","doubrful","neutral","neutral",,,15,17,7,,
"Самолет Ту-134 разбился вечером в понедельник около шоссе на удалении 700 метров от взлетно-посадочной полосы аэропорта Петрозаводска.","negative","negative","negative",,,15,17,7,,
"Однако тогда этот способ не нашел понимания у защитников прав животных, которые в свою очередь выдвинули альтернативный вариант: закладывать жаб в морозилку и ждать пока те не уснут навсегда.","negative","negative","neutral",,,15,17,7,,
"Из-за прилавка поднялся усатый сеньор и ласково мне улыбнулся.","positive","positive","neutral",,,15,17,7,,
"Казалось бы, личность Наполеона изучена до конца.","neutral","neutral","neutral",,,15,17,7,,
"В воскресенье в провинции Абьей должен был состояться отдельный референдум, но он был перенесен из-за споров по поводу прав на регистрацию.","neutral","neutral","neutral",,,15,17,7,,
"В каждой из стоек будет установлено оборудование для проведения экспериментов в различных областях знания (биологии, психологии, материаловедению) в условия невесомости.","neutral","neutral","neutral",,,15,17,7,,
"Это позволит пользователям обходиться без стороннего антивирусного ПО, и система всегда будет в порядке.","positive","neutral","neutral",,,15,17,7,,
"«Антонов» совершал рейс по маршруту Браззавиль – Пуэнт-Нуар, однако, до пункта назначения летательный аппарат не дотянул, и рухнул прямо на жилые кварталы находящиеся неподалёку от взлетно-посадочной полосы аэропорта города Пуэнт-Нуар.","negative","negative","neutral",,,15,17,7,,
"Часто приходится слышать воспоминания, как тяжело было с первенцем.","negative","neutral","neutral",,,15,17,7,,
"Однако с проникновением протестующих в здание райгосадминистрации спецназ отступил.","doubrful","neutral","neutral",,,15,17,7,,
"Альбом разошелся по всему миру тиражом в 8 миллионов экземпляров.","positive","positive","neutral",,,15,17,7,,
"Усталость в обществе возникла, потому что нет движения на политическом поле.","negative","neutral","neutral",,,15,17,7,,
"Булгаков пишет свою Голгофу, но уравновешивает её карнавальными фейерверками.","neutral","neutral","neutral",,,15,17,7,,
"Другой силовой форвард — Райан Клоу из Sharks — также не сможет помочь своей команде в первой игре.","negative","negative","neutral",,,15,17,7,,
"Был он обилен летом солнцем, а зимою снегом, и особенно высоко в небе стояли две звезды: звезда пастушеская — вечерняя Венера и красный, дрожащий Марс.","positive","neutral","neutral",,,15,17,7,,
"Александр Гордон, объяснила девушка, собирается делать передачу против гламура и вызывает Ускова как главного «обвиняемого».","negative","neutral","neutral",,,15,17,7,,
"30 января выяснилось, что Донилон во время поездки в Москву может предложить российской стороне черновой проект нового договора о противоракетной обороне.","neutral","neutral","neutral",,,15,17,7,,
"Лидер объединенных профсоюзов (со всеми вытекающими - смесь коммуниста-партаппаратчика и горлопана из фильмов про американские профсоюзы начала прошлого века), безграмотный, агрессивный и непримиримый, сразу после избрания стал кумиром наших крайне левых, включая, естественно, газету""Ха-Арец"", которая откровенно прочит его в премьер-министры и рисует его, как мессию, старательно затушевывая все огрехи, которые он успел наделать за неполные две недели и которые вогнали в краску его однопартийцев и весь Израиль.","negative","negative","neutral",,,15,17,7,,
"Однако для индустриального послевоенного общества этого было уже недостаточно.","negative","neutral","neutral",,,15,17,7,,
"Сегодня я могу сообщить американцам и всему миру, что США провели операцию, в результате которой был убит лидер Аль-Кайды Усама бин Ладен – террорист, ответственный за убийство тысяч невинных мужчин, женщин и детей.","positive","positive","neutral",,,15,17,7,,
"Если верить слухам, долгожданный планшетный компьютер от Google на базе Chrome OS появится на прилавках американских магазинов ровно за месяц до Рождества — 26 ноября, когда начнутся рождественские распродажи.","positive","neutral","neutral",,,15,17,7,,
"Лидеры""призвали к немедленному прекращению огня, выводу иностранных войск из Украины, отводу тяжелой техники и вооружений, закрытию границы и освобождению всех заложников"".","positive","positive","neutral",,,15,17,7,,
"Основные события теперь уже разворачиваются не только в областях, но и в столице республики, Бишкеке.","neutral","neutral","neutral",,,15,17,7,,
"Бен планирует пригласить к себе на остров свою канадскую девушку по имени Брэ, чтобы вместе исследовать коралловый риф.","neutral","neutral","neutral",,,15,17,7,,
"Никто заранее не согласовывал с нами и не уведомлял ни нас, ни «Шереметьево», ни ОАО «Терминал» о том, что планируется начать строительные работы.","negative","neutral","neutral",,,15,17,7,,
"Ход строительства космодрома «Восточный» вписался в график","positive","neutral","neutral",,,15,17,7,,
"И теперь самое большое опасение Евросоюза состоит в том, что у правительства социалистов ничего не получится с драконовской экономией.","negative","neutral","neutral",,,15,17,7,,
"Министр образования и науки Дмитрий Ливанов обрушился с резкой критикой на ректоров высших учебных заведений за то, что они не выполнили майский указ президента РФ Владимира Путина о повышении заработной платы преподавателей.","negative","negative","neutral",,,15,17,7,,
"И что, кому от этого легче?","negative","neutral","neutral",,,15,17,7,,
"Вторая по величине река в Ираке — Евфрат наполовину пересохла.","neutral","negative","neutral",,,15,17,7,,
"""Новости отнимают у нас энергию, как вампиры.","negative","negative","neutral",,,15,17,7,,
"На прошедшем 19 ноября 2009 года мероприятии в штаб-квартире компании в Маунтин-Вью Google официально рассказала о своём детище, которое с момента появления в поле зрения журналистов (первое упоминание о Chrome OS появилось ещё в июле) обросло невероятным количеством слухов и поддельных скриншотов.","negative","neutral","neutral",,,15,17,7,,
"К столь серьезной программе он к тому же добавил два отнюдь не простых""биса""- Рондо ре мажор Моцарта и Четвертую балладу Шопена.","positive","neutral","neutral",,,15,17,7,,
"Неудивительно, что к случившемуся с Машей интиму он относится так же: это приятно.","positive","neutral","positive",,,15,17,7,,
"И доверились автору сценария картины, который в лучших традициях «фабрики грёз» заявлял, что, комментируя детали любых исторических документов, вполне допустимо отклоняться от первоисточника, прибегая к «творческому вымыслу» и «творческому домыслу».","neutral","neutral","neutral",,,15,17,7,,
"Присвоение веса на глазок – это третий скользкий момент.","negative","neutral","neutral",,,15,17,7,,
"Нет мира и нет покоя в умеренно цивилизованной цивилизации, где не идут боевые действия.","negative","neutral","neutral",,,15,17,7,,
"Однако столь долгосрочные прогнозы нередко бывают ошибочными.","negative","negative","neutral",,,15,17,7,,
"Секретарь в школе хорошо работает — это не чудо, при должной организации труда практически все сотрудники оправдывают возложенные на них ожидания.","positive","positive","neutral",,,15,17,7,,
"Возможно, если принимающие решения люди, строители и бизнесмены это осознают, они в будущем избегут каких-то проблем в собственной жизни, привнесут позитив в свою семью и судьбу.","positive","neutral","neutral",,,15,17,7,,
"Обсерватория принадлежала Академии наук СССР и была одним из ведущих астрономических учреждений Советского Союза.","positive","neutral","neutral",,,15,17,7,,
"Вот, чисто для примера, г-жа Батурина, чьё состояние журнал Forbes ― любят же некоторые считать чужие деньги ― оценивает в 4 миллиарда зелёных американских рублей.","doubrful","neutral","neutral",,,15,17,7,,
"По его словам, в итоге вузы вынуждены сокращать штаты, увеличивая нагрузку на оставшихся преподавателей.","negative","negative","neutral",,,15,17,7,,
"Никаких документов и фотографий тех самых лет у семьи Одиноковых не сохранилось.","negative","negative","neutral",,,15,17,7,,
"Главное, чтобы компьютер работал (то есть в нем была какая-то ОС) и он был подключен к Сети.","neutral","neutral","neutral",,,15,17,7,,
"Но в том, что касается комплекса благ, это верно лишь отчасти.","doubrful","neutral","positive",,,15,17,7,,
"Всё это можно делать пользуясь даже только открытыми интерфейсами.","positive","neutral","neutral",,,15,17,7,,
"заявил топ-менеджер страховой компании, имеющей интересы в страховании космических рисков.","doubrful","doubrful","doubrful",,,15,17,7,,
"ВОСТОК-МЕДИА (http://vostokmedia.com/n77290.html) сообщает - Представители КНР на заседании российско-китайской комиссии по пограничным вопросам уже требовали от Москвы пересмотреть линию государственной границы между двумя государствами как минимум на 160 участках рек Амур и Уссури.","neutral","neutral","neutral",,,15,17,7,,
"Больше всего бесит неперсонифицированность этого организма.","negative","negative","neutral",,,15,17,7,,
"А кто-то из прогламурной команды тут же закричал, что уже занимается благотворительностью.","positive","neutral","neutral",,,15,17,7,,
"Получается, что драгоценное ядро аудитории, о котором так много говорят, оказывается лояльно настроенным по отношению к площадке для общения, а вовсе не к его идеологии.","negative","neutral","neutral",,,15,17,7,,
"Но есть у гиперотвественности, как у всякого «гипер» и другая сторона.","doubrful","neutral","neutral",,,15,17,7,,
"Одни мои знакомые сказали, что сад заведут, когда смогут оплачивать садовника, а детей — когда будет хватать денег на няню.","neutral","neutral","neutral",,,15,17,7,,
"Немецкие предприятия получили также наибольшую долю заказов (450 миллионов евро) на создание модуля.","positive","neutral","neutral",,,15,17,7,,
"После всех трагических злоключений своих дочерей и Мышкина в придачу она жаловалась на Швейцарию — ни дома истопить по-человечески там не могут, ни хлеба испечь.","negative","neutral","neutral",,,15,17,7,,
"Но как-то потихоньку, для узкого круга.","doubrful","neutral","neutral",,,15,17,7,,
"Люди перестанут писать многомудрые посты о том, кто виноват в том, чего не было, и что делать с тем, чего они не знали.","negative","neutral","neutral",,,15,17,7,,
"Динго стали отлавливать капканами, отстреливать и травить ядами.","negative","negative","negative",,,15,17,7,,
"В последний раз Путин и Порошенко встречались в Минске 27 августа во время представительного саммита с участием делегаций стран – участниц Таможенного союза, Украины и ЕС.","neutral","neutral","neutral",,,15,17,7,,
"Тем не менее экономика наших соседей идет ко дну.","negative","negative","negative",,,15,17,7,,
"А уж «Русской премии» он заслуживает чуть ли не на три года вперёд.","positive","positive","neutral",,,15,17,7,,
"Окуклившиеся в рамках единственной площадки пользователи быстро теряют адекватность.","negative","negative","neutral",,,15,17,7,,
"Несмотря на то что в этом году им даже удалось добиться отмены театрализованного представления, посвящённого 250-й годовщине захвата британцами Квебека, всерьёз их уже мало кто воспринимает.","negative","neutral","neutral",,,15,17,7,,
"Гитарист-виртуоз Виктор Зинчук в свободное время активно увлекается футболом, играет за известную артистическую сборную «Старко», дружит со многими футболистами, в том числе с Алексеем Смертиным, который был послом России в Швейцарии на презентации российской заявки.","positive","neutral","neutral",,,15,17,7,,
"Вслед за нефтью выросли и фондовые индексы Европы и России.","neutral","positive","neutral",,,15,17,7,,
"Международный женский день своими корнями уходит в долгую борьбу женщин за участие в жизни общества наравне с мужчинами.","doubrful","neutral","neutral",,,15,17,7,,
"Муссонные дожди, лившие в северных и северо-западных провинциях страны с конца июля, привели к гибели около 1700 человек.","negative","negative","negative",,,15,17,7,,
"Что касается приложений, то платформой для них будет не столько Linux (или даже совсем не Linux — из объявления не вполне ясно), сколько сама Сеть.","neutral","neutral","neutral",,,15,17,7,,
"Фильм Бычковой, по-девичьи легкий, облачный, в меру веселый, вполне удался.","positive","positive","positive",,,15,17,7,,
"По-английски terminate — это «убить», а по-русски «терминатор» — это ничего.","negative","neutral","neutral",,,15,17,7,,
"Люди творческих профессий знают цену тому радостному ощущению счастья, возникающему, когда ты ловишь эту рыбу и вытаскиваешь ее из самой глубины на поверхность.","positive","positive","positive",,,15,17,7,,
"В то же время Путин очень редко записывает обращения, тем более - публикует их ночью.","neutral","neutral","neutral",,,15,17,7,,
"Даже радикально осторожный Иосиф Бакштейн, говоря о Беляеве-Гинтовте, заявил, что «решение жюри может быть истолковано как солидарность с его позициями».","doubrful","neutral","neutral",,,15,17,7,,
"Создание «гуглобраузера» казалось вполне логичным: если поисковая страница Google сумела завовевать доверие большинства пользователей, став их отправной точкой для путешествия по Сети, то, может быть, Google по силам создать и сам веб-браузер, главное «окно» в Сеть, способный конкурировать с почти безраздельно доминировавшим на рынке браузером Internet Explorer, который Microsoft поставляет вместе со своей операционной системой.","positive","positive","neutral",,,15,17,7,,
"В условиях повышенной влажности и недоедания это привело к катастрофе — птенцы массово погибли.","negative","negative","negative",,,15,17,7,,
"Начало же 90-х связано с именами совсем иных героев, но это другая тема.","doubrful","neutral","neutral",,,15,17,7,,
"Это логично, потому что изменение в политической судьбе Крыма было произведено вежливыми людьми снаружи, без какой-либо новой местной политической силы.","doubrful","neutral","neutral",,,15,17,7,,
"В ней любому приехавшему туристу окажут информационную и сервисную помощь, а в случае необходимости выдадут велосипед для поездки по городу.","positive","neutral","neutral",,,15,17,7,,
"Для Википедии можно придумать тысячи различных применений (пример — семантический анализ текстов с использованием Википедии).","positive","neutral","neutral",,,15,17,7,,
"Эти выборы не стали еще одним шагом вперед в развитии украинского общества.","negative","negative","neutral",,,15,17,7,,
"Текст описывает лечение различных женских (и нескольких мужских) проблем.","neutral","neutral","neutral",,,15,17,7,,
"Настоящая любовь — не только личная.","neutral","neutral","neutral",,,15,17,7,,
"Одновременно закрыли и съезд с Международного шоссе на МКАД — единственный нормальный путь в аэропорт «Шереметьево».","negative","negative","neutral",,,15,17,7,,
"Укажут и фактическую ошибку в тексте, и грамматическую, и всё, что думают об авторе и редакции, тоже узнаете.","negative","negative","neutral",,,15,17,7,,
"По данным liveinternet.ru, доля посетителей сайта, использующих браузер Google, составляет 0,8% (в первую неделю после выхода программы она составляла 0,9%).","neutral","neutral","neutral",,,15,17,7,,
"В книге Андрея Аствацатурова определённой темы нет, как нет и сюжета, нет, кажется, и смысла.","negative","negative","neutral",,,15,17,7,,
"Так что весной 2009 года в горах Гарц, что в самом центре страны, появятся предупредительные надписи о том, что «если вы не хотите видеть людей без одежды, то вам следует прекратить движение в этом направлении».","negative","neutral","neutral",,,15,17,7,,
"Сами члены команды «The Tracers» в белых майках с надписью «I am nothing» («Я – ничто») на спине помогали французам регулировать процесс изнутри: собирали участников в небольшие группы, подготавливали их для тренировки с «Ямакаси», проводя короткие, но эффективные разминки.","positive","neutral","neutral",,,15,17,7,,
"«Создание ЕВФ будет не чем иным, как признанием неудачи, явным признанием того, что страны не только не способны выполнять положения Пакта стабильности и роста, но и не могут также обеспечить должную финансовую дисциплину».","negative","neutral","neutral",,,15,17,7,,
"В докладе к VI Евразийскому конгрессу интеллектуальной молодежи под названием «Русская политическая теория», озвученном ЕСМ 21 ноября 2008 года, черным по белому написано:","doubrful","neutral","neutral",,,15,17,7,,
"Эрдоган уже официально осудил решение шведского парламента, назвал его недружелюбным по отношению к Турции, а также пообещал отозвать своего посла.","negative","neutral","neutral",,,15,17,7,,
"Примерно в этом духе высказались по поводу нового сервиса Googlе в Microsoft:","doubrful","doubrful","neutral",,,15,17,7,,
"Как отмечают специалисты, бури такой силы чрезвычайно редки.","neutral","neutral","neutral",,,15,17,7,,
"Все, кто реально читал моё интервью (газете «Ведомости»), знают, что таких слов там не было.","negative","neutral","neutral",,,15,17,7,,
"Сюрприз, это требует совсем другого менеджмента!","negative","neutral","neutral",,,15,17,7,,
"Угроза приняла такие масштабы, что на правительственном уровне было решено начать массовый отстрел животных.","negative","negative","neutral",,,15,17,7,,
"Поверьте мне, авторы не менее известные, к примеру Нил Гейман, гораздо активнее интересуются своими переводами и фигурой переводчика.","positive","neutral","neutral",,,15,17,7,,
"Романтические стихи и духи L'Air de Panache (и то, и другое — непременный реквизит Гюстава) непременно рассеются, Прекрасная Эпоха в лице консьержа умрет (об этом, между прочим, объявит рассказчик), а сохранится ли отель, мы так и не узнаем.","negative","neutral","neutral",,,15,17,7,,
"Более двух десятилетий бин Ладен был лидером и символом Аль-Кайды и продолжал замышлять атаки против нашей страны, наших друзей и союзников.","negative","neutral","neutral",,,15,17,7,,
"Случай сам по себе шокирующий, если учесть, как в Германии трепетно относятся ко всякой дикой живности.","negative","negative","neutral",,,15,17,7,,
"Своими успехами и достижениями она обязана многим поколениям татарстанцев, вам, дорогие друзья"", написал президент.","positive","neutral","neutral",,,15,17,7,,
"Никто и ничто не работает, все воруют, грабят, насилуют и убивают друг друга, в государстве, наряду с православием, введена вторая официальная религия — вера в Евросоюз, и священники отправляют оба культа сразу по совместительству.","negative","negative","negative",,,15,17,7,,
"Далай-лама, прозябающий в Индии, страдалец в изгнании?","negative","negative","neutral",,,15,17,7,,
"Татьяна Москвина — душой этой неформальной организации.","positive","positive","neutral",,,15,17,7,,
"Правительство может заморозить или даже снизить ставки акцизов на алкоголь и сигареты, пишет «Ъ».","neutral","neutral","neutral",,,15,17,7,,
"Ясно, что этот скандал затрагивает интересы объединённой Европы.","negative","neutral","neutral",,,15,17,7,,
